Eleitor#	Região	Candidato
1	Oeste: Outros	Capitã Cloroquina 
2	Oeste: Barra e JPA	Pipi de Jorge 
3	Oeste: Barra e JPA	Enia da Toca da Onça 
4	Oeste: Grande Bangu	Herminho Anão da VGC 
5	Oeste: Barra e JPA	Zé Perninha 
6	Grande Méier	Zé Perninha 
7	Oeste: Barra e JPA	Pipi de Jorge 
8	Oeste: Outros	Dudu Cremoso 
9	Oeste: Grande Bangu	Zé Perninha 
10	Oeste: Barra e JPA	Zé Perninha 
11	Grande Méier	Pipi de Jorge 
12	Oeste: Grande Bangu	Dudu Cremoso 
13	Grande Méier	Herminho Anão da VGC 
14	Grande Méier	Ferreira do Suvacão 
15	Grande Méier	Dudu Cremoso 
16	Oeste: Grande Bangu	Capitã Cloroquina 
17	Grande Méier	Enia da Toca da Onça 
18	Oeste: Grande Bangu	Alessandro Fuscão 
19	Oeste: Grande Bangu	Capitã Cloroquina 
20	Oeste: Barra e JPA	Capitã Cloroquina 
21	Norte	Dudu Cremoso 
22	Oeste: Grande Bangu	Ferreira do Suvacão 
23	Grande Méier	Adriano Pirulito 
24	Grande Méier	Dudu Cremoso 
25	Oeste: Grande Bangu	Enia da Toca da Onça 
26	Norte	Herminho Anão da VGC 
27	Norte	Zé Perninha 
28	Oeste: Grande Bangu	Capitã Cloroquina 
29	Oeste: Outros	Pipi de Jorge 
30	Oeste: Barra e JPA	Pipi de Jorge 
31	Oeste: Barra e JPA	Alessandro Fuscão 
32	Oeste: Outros	Adriano Pirulito 
33	Oeste: Outros	Ferreira do Suvacão 
34	Oeste: Outros	Ferreira do Suvacão 
35	Oeste: Barra e JPA	Pé de Pato do Lixo 
36	Oeste: Barra e JPA	Adriano Pirulito 
37	Oeste: Outros	Herminho Anão da VGC 
38	Oeste: Barra e JPA	Zé Perninha 
39	Oeste: Barra e JPA	Pipi de Jorge 
40	Norte	Pé de Pato do Lixo 
41	Norte	Alessandro Fuscão 
42	Oeste: Barra e JPA	Pé de Pato do Lixo 
43	Grande Méier	Pipi de Jorge 
44	Oeste: Grande Bangu	Pipi de Jorge 
45	Norte	Alessandro Fuscão 
46	Grande Méier	Herminho Anão da VGC 
47	Norte	Pé de Pato do Lixo 
48	Oeste: Grande Bangu	Pé de Pato do Lixo 
49	Oeste: Barra e JPA	Dudu Cremoso 
50	Grande Méier	Pé de Pato do Lixo 
51	Grande Méier	Pé de Pato do Lixo 
52	Norte	Pé de Pato do Lixo 
53	Oeste: Outros	Capitã Cloroquina 
54	Oeste: Grande Bangu	Pé de Pato do Lixo 
55	Oeste: Barra e JPA	Adriano Pirulito 
56	Oeste: Grande Bangu	Zé Perninha 
